Date,Open,High,Low,Close,Shares Traded ,Turnover (â‚¹ Cr)
02/05/23,3342.25,3357.1,3338,3352.35,456652377,27463.01
03/05/23,3346.15,3348.65,3333.2,3340.2,365074895,23020.52
04/05/23,3341.3,3369.55,3337,3367.6,433595990,26218.85
05/05/23,3357.25,3374.65,3349.6,3351.9,419116141,29635.43
08/05/23,3360.5,3388.55,3358.35,3386.15,408890564,27302.53
09/05/23,3393,3401.8,3381.2,3389.25,439462065,27882.43
10/05/23,3398.3,3402.85,3379.9,3401.05,337600534,24784.16
11/05/23,3412.25,3413.85,3401.55,3407.85,361822366,28404.83
12/05/23,3406.9,3418.75,3394.1,3410.5,361430419,25548.52
15/05/23,3415.25,3439.7,3409.65,3427.35,343427650,23349.5
16/05/23,3433.55,3438.3,3409.7,3414.15,395658524,25090.48
17/05/23,3415.85,3418.1,3379.3,3390.8,340880673,23697.34
18/05/23,3409.05,3409.15,3373.45,3376,396516924,26736.7
19/05/23,3384.7,3391.65,3362.25,3388.9,403964427,25224.91
22/05/23,3391.05,3423.05,3386.35,3419.7,440133330,24538.18
23/05/23,3429.1,3439.8,3422.65,3425.8,363462988,23692.79
24/05/23,3420.3,3438.8,3416.95,3426.05,365391976,23519.53
25/05/23,3424.55,3441,3417.95,3437.7,463861025,25154.94
26/05/23,3443.55,3474.7,3440.25,3472.85,366435288,22842.54
29/05/23,3498.3,3501.7,3485.55,3489.9,356490310,23009.67
30/05/23,3491.85,3496.55,3480.75,3489.75,340602914,25529.75
31/05/23,3486.5,3498.25,3476.3,3491.15,1095944974,84090.05
01/06/23,3499.25,3507.9,3492.8,3496.75,398555358,29110.69
02/06/23,3507.65,3513.3,3495.65,3507.35,543750199,27759.85
05/06/23,3519.75,3524.9,3508.55,3510.5,407344759,24101.51
06/06/23,3509.6,3516.3,3498.25,3512.4,351873638,25023.64
07/06/23,3527.1,3543.25,3521.4,3541.3,408072631,25409.51
08/06/23,3543.4,3545.95,3511.35,3514.85,463389954,27549.28
09/06/23,3519.5,3523.95,3495.3,3497.45,370055013,24602.23
12/06/23,3505.25,3520.5,3498.15,3515.6,342376434,18583.89
13/06/23,3523.05,3538.7,3522.8,3536.6,395968163,27181.07
14/06/23,3543.15,3544.6,3527.3,3537.8,428802531,24206.62
15/06/23,3541.85,3550.8,3526.15,3529.25,430815739,29512.25
16/06/23,3535.2,3558.25,3532.35,3551.7,407988661,33376.51
19/06/23,3560.15,3563.55,3540,3546,354921189,24514.29
20/06/23,3548.3,3567.4,3534.6,3564.15,318229358,24217.1
21/06/23,3571.6,3578.35,3560.95,3570,357718338,22245.4
22/06/23,3571.45,3572.1,3541.9,3544.7,370756079,26717.74
23/06/23,3541.25,3542.8,3512.2,3518.6,320476704,21193.09
26/06/23,3516.25,3534.8,3513.05,3531.45,266096363,20267.19
27/06/23,3542.4,3558.8,3540.05,3557.05,342123285,25196.76
28/06/23,3572.3,3580.4,3561.05,3574.9,485737309,39346.25
30/06/23,3591.4,3616.6,3585.75,3614.85,440668226,34705.98
03/07/23,3625.6,3633.4,3615.85,3621.6,394184659,26750.89
04/07/23,3637.45,3640.45,3624.3,3633.6,339784182,30238.18
05/07/23,3641.85,3656.35,3634.4,3652.95,382314111,29097.81
06/07/23,3651.85,3666.35,3648.05,3664.45,434527301,32822.39
07/07/23,3653.55,3670.7,3628.8,3634.1,391358211,27518.37
10/07/23,3641.95,3642.4,3613.25,3618.2,384276029,28958.56
11/07/23,3631.25,3647.5,3627.75,3635.3,372218250,30585.55
12/07/23,3644.8,3645.95,3623.55,3631.55,461627212,46691.02
13/07/23,3648,3668.45,3631.4,3638.5,610934277,32670.69
14/07/23,3655.05,3686.5,3646.25,3682,474922832,29854.46
17/07/23,3690.4,3700.3,3682.3,3694.9,404991292,29419.64
18/07/23,3704.7,3706.85,3682.9,3695.95,440090489,36666.43
19/07/23,3705.9,3713.65,3693.7,3705.7,356984249,29533.36
20/07/23,3706.25,3715.9,3686.75,3714.15,388110209,35288.51
21/07/23,3673.95,3692.7,3663,3669.85,472936104,37516.84
24/07/23,3675.4,3682.3,3663.4,3670,398997683,27778.15
25/07/23,3680.05,3682.2,3664.55,3679.85,506788557,33373.62
26/07/23,3693.35,3701.85,3684.95,3690.8,390208249,26824.71
27/07/23,3700,3708.05,3669.6,3680.5,507608274,40554.5
28/07/23,3685.25,3689.15,3666.15,3681.1,471777524,28702.63
31/07/23,3680.85,3700.7,3673.35,3697.2,455247930,27335.17
01/08/23,3704.55,3706.5,3687.35,3697.4,399796728,28331.96
02/08/23,3687.65,3690.1,3637.65,3659,472082230,29763.95
03/08/23,3648.3,3659.3,3619.7,3638.3,516439812,34823.17
04/08/23,3653.05,3672.3,3651.9,3667.35,787989908,36279.01
07/08/23,3680.05,3687.3,3665.25,3683,561592507,27750.75
08/08/23,3690.2,3692.65,3670.55,3683.15,509133951,29660.23
09/08/23,3687.05,3688.75,3667.2,3687.25,432648005,26194.81
10/08/23,3683.3,3685.1,3661.15,3671.55,486352805,32809.22
11/08/23,3678.35,3679.25,3648.7,3652.95,387687644,28364.79
14/08/23,3644.15,3644.95,3605.25,3639.35,370192384,24493.01
16/08/23,3633.3,3645.35,3620.75,3642.5,357556954,25746.8
17/08/23,3643.5,3644.85,3624.55,3631.85,350940186,27280.07
18/08/23,3621.45,3624.05,3604.25,3611.85,333355685,25187.6
21/08/23,3614.65,3642.1,3612,3637.1,338268343,20667.44
22/08/23,3644.4,3648.2,3637.1,3642.3,372458187,22326.33
23/08/23,3653.8,3653.9,3639.45,3648.15,377445442,24114.42
24/08/23,3666.4,3674.6,3645.9,3648.9,404730047,27826.6
25/08/23,3635.8,3645,3619.2,3628.4,610921396,28291.58
28/08/23,3636.7,3645.8,3623.95,3640.65,453710016,21536.92
29/08/23,3652.3,3656.2,3646.55,3653.8,447042726,25438.09
30/08/23,3671.95,3678.75,3660.5,3663,539770033,23800.55
31/08/23,3666.3,3668.65,3639.05,3644.85,764707533,54405.97
01/09/23,3648.5,3679.7,3646.15,3677.7,498981875,28435.85
04/09/23,3691.9,3705.45,3677.7,3703.05,518473036,27632.65
05/09/23,3710.85,3715.55,3703.5,3709.65,457984596,26894.58
06/09/23,3714.1,3726.65,3699.4,3723.5,622212829,35724.86
07/09/23,3723.1,3746.15,3716.3,3743.95,478005960,27396.83
08/09/23,3752.95,3769.15,3747.65,3760.6,488616139,28704.57
11/09/23,3774.6,3796.9,3770.35,3795.5,435538471,25229.01
12/09/23,3813.4,3813.5,3758.2,3777.9,529408229,35146.51
13/09/23,3775.25,3788.25,3757.25,3785.35,424889463,28444.97
14/09/23,3797.25,3811.35,3786.8,3798.8,402593245,25652.42
15/09/23,3809.35,3830.85,3805.5,3826.15,717959006,49878.67
18/09/23,3825.7,3830.45,3814.5,3820.4,468890248,27287.95
20/09/23,3796.8,3815.35,3783.8,3786.95,577541883,43108.91
21/09/23,3778.8,3781.9,3753.1,3761.75,400054057,30514.35
22/09/23,3759.15,3771.5,3743.65,3753.35,421416527,30302.17
25/09/23,3756.05,3761.8,3740.75,3749.8,315386624,24564.96
26/09/23,3752,3757.05,3746.3,3750.95,315101369,22880.38
27/09/23,3748.35,3761.1,3732.7,3758.6,317804767,23708.4
28/09/23,3762.25,3764.1,3700.8,3707.55,490250795,36023.64
29/09/23,3717.05,3739.65,3706.95,3726,342000531,23950.68
03/10/23,3726.1,3726.1,3699.3,3717.7,360843820,25636.39
04/10/23,3703.7,3706.1,3675.65,3695.35,409585329,30513.57
05/10/23,3711.25,3722.35,3704.65,3713.95,425317380,26635.96
06/10/23,3729.4,3745.6,3723.9,3741.75,285260671,19896.56
09/10/23,3718.35,3731.7,3708.45,3712.8,269791657,18285.58
10/10/23,3724.15,3751.75,3723,3749,354072922,22290.33
11/10/23,3763.7,3781.15,3762.65,3769.95,412117433,24852.46
12/10/23,3774.65,3777.4,3755.15,3758.95,417503408,24872.47
13/10/23,3734,3761.55,3730.6,3754.8,403675796,28385.78
16/10/23,3754.1,3761.7,3747.15,3754.8,300084566,18469.21
17/10/23,3772.15,3777.4,3766.6,3771.1,325095514,20715.12
18/10/23,3772.8,3774.85,3743,3745.2,379113088,23270.64
19/10/23,3725.55,3748.65,3716.4,3741.65,321236929,26822.41
20/10/23,3730.15,3737.25,3721.25,3724.95,340132023,22272.5
23/10/23,3720.05,3726.3,3661.4,3667.2,331547062,20422.15
25/10/23,3666.45,3679.65,3625.75,3635.45,334526492,23388.03
26/10/23,3613.85,3616.65,3575.55,3583.8,492999304,33343.54
27/10/23,3598.25,3628.85,3598.1,3623.25,321946891,23876.8
30/10/23,3626.25,3635.4,3596.15,3632.45,285353962,20431.94
31/10/23,3648.75,3648.8,3624.45,3633.8,358471492,24365.4
01/11/23,3635.35,3643.95,3607.65,3610.6,357843581,22167.98
02/11/23,3635.7,3648.9,3628.05,3641.7,425221720,23434.59
03/11/23,3663.4,3670.1,3659.95,3664.8,518555725,22821.03
06/11/23,3686.5,3702.65,3680.65,3699.4,507398797,22844.71
07/11/23,3700.65,3706.15,3689.05,3703.4,497689303,24527.31
08/11/23,3714.6,3715.85,3705.2,3710.15,389282901,21353.03
09/11/23,3716.25,3716.75,3696.5,3700.2,344032704,22935.18
10/11/23,3691.35,3705.25,3685.4,3700.9,270294384,16488.98
12/11/23,3726.25,3727.35,3717.45,3720.05,60311070,2993.34
13/11/23,3714.1,3715.8,3698.65,3705.1,280895805,16219.49
15/11/23,3744.3,3757,3732.5,3753.9,448980983,29613.26
16/11/23,3754.15,3800.2,3743.25,3784.15,383221934,28918.69
17/11/23,3771.9,3804,3770.15,3793,444744949,28110.49
20/11/23,3794.3,3802.5,3785.5,3789.15,327423058,20611.68
21/11/23,3802.75,3810.85,3798.25,3801.55,312448572,21440.53
22/11/23,3802.35,3813.55,3788.8,3805.1,305571735,20394.45
23/11/23,3810.7,3820.85,3802.55,3806.6,275954761,18771.65
24/11/23,3809.75,3813.9,3793.95,3796.6,270744623,18123.22
28/11/23,3806.9,3831.25,3801.9,3826.35,459574445,27906.01
29/11/23,3846.9,3866.95,3844.75,3865.25,513879567,30297.58
30/11/23,3871.25,3892.05,3856.3,3887.4,942838623,60701.43
01/12/23,3903.25,3904.9,3891.55,3897.4,461984359,27561.43
04/12/23,3957.25,3969.55,3938.9,3966.15,652534809,41419.31
05/12/23,3981.45,3996.1,3961.4,3993.6,635995200,46067.43
06/12/23,4013.45,4029.85,4006.75,4027.05,580956657,42504.86
07/12/23,4032.15,4047.4,4023.2,4039.95,595633322,37239.41
08/12/23,4052.5,4056.1,4012.85,4041.35,513665077,35609.94
11/12/23,4044.05,4050.85,4037.3,4048.5,393467170,26914.16
12/12/23,4055.5,4060.9,4021.8,4033.85,394594549,31917.91
13/12/23,4039.05,4041.75,3998.7,4034.35,436049109,32994.09
14/12/23,4067.65,4102.8,4063.4,4096.7,562159096,40167.25
15/12/23,4117.65,4144.4,4104.1,4139,670367073,55137.16
18/12/23,4138.7,4158.85,4123.05,4145.2,458942256,32089.62
19/12/23,4153.65,4154.3,4118.1,4140.8,431621448,31813.54
20/12/23,4159.5,4171.5,4047.3,4058.95,555571968,39993.59
21/12/23,4027.6,4090.45,4018.45,4083.6,454129662,33197.6
22/12/23,4100.9,4125.35,4088.7,4122.25,513337151,35200.96
26/12/23,4126,4147.7,4117.7,4143.5,358578932,24631.33
27/12/23,4159.15,4186.6,4153.7,4182.75,377864751,28730.26
28/12/23,4194.35,4200.55,4184.45,4197.1,605476887,41256.55
29/12/23,4192.45,4204.4,4183.5,4200.15,593886813,32531.36
01/01/24,4203.6,4221.95,4194.65,4204.95,408074772,21189.78
02/01/24,4209.05,4210.75,4161.5,4187,533255346,33610.64
03/01/24,4188.55,4191.45,4163.2,4166.9,626797733,46079.38
04/01/24,4186.3,4205.55,4181.6,4201.15,588075201,40770.42
05/01/24,4212.45,4222.6,4190.95,4209.2,598758605,37094.25
08/01/24,4217.55,4218.05,4165.95,4170.1,487346123,30127.6
09/01/24,4200.3,4213.7,4176.3,4180.95,446319862,32677.07
10/01/24,4182.5,4193.25,4160.85,4189.1,449648263,29386.76
11/01/24,4204.75,4213.1,4189.2,4199.45,463039506,32381.65
12/01/24,4227.6,4256,4220.35,4249.4,575057290,38826.87
15/01/24,4288.9,4294.35,4265.8,4282.8,586879500,37929.26
16/01/24,4280.4,4285.85,4255.4,4266.5,585306739,34282.2
17/01/24,4209.8,4243.75,4198,4201.4,826404818,58820.19
18/01/24,4175.25,4190.75,4128.55,4176.15,721768028,50137.79
19/01/24,4205.15,4216.55,4198.45,4213.2,655146800,43930.54
20/01/24,4232.05,4233.25,4198.75,4204.25,356678411,21265.34
23/01/24,4229.9,4236.35,4125.15,4132.1,857970612,63432.91
24/01/24,4128.1,4187.9,4108.1,4183,733150978,54298.44
25/01/24,4184.5,4184.5,4139,4159.8,778026675,50256
29/01/24,4171.05,4218.6,4170.3,4214.05,768765039,48005.15
30/01/24,4225.2,4235,4185.7,4189.6,696465092,44193.53
31/01/24,4189.05,4234.1,4179.05,4230.75,823034188,55826.48
01/02/24,4244.75,4253.6,4217.9,4228.15,756174398,48861.82
02/02/24,4251.25,4304.65,4250.4,4260,925579362,51277.78
05/02/24,4279.6,4291,4235.35,4243.8,860590737,48488.11
06/02/24,4257.95,4295.8,4242.7,4292.2,679505957,43433.52
07/02/24,4315.8,4318.9,4285.25,4304.25,772990218,47421.82
08/02/24,4324.35,4325.1,4261.9,4270.15,971405469,58249.81
09/02/24,4278.05,4283.35,4229.8,4274.05,948690224,49238.87
12/02/24,4281.35,4292.4,4235.05,4243.35,726746599,37702.67
13/02/24,4253.7,4274.85,4220.3,4272.2,686533914,41245.55
14/02/24,4236.55,4296.75,4226.1,4291.9,627820849,43060.16
15/02/24,4310.95,4317.75,4291.8,4310.05,740471143,42328
16/02/24,4331.8,4350.65,4326.4,4345.6,652770556,40897.38
19/02/24,4358.95,4368.75,4338.1,4354.45,443215612,29789.57
20/02/24,4350.95,4365.25,4337.15,4361.05,523029041,35098.53
21/02/24,4369.8,4373.4,4319.7,4331,640064946,41921.37
22/02/24,4342.4,4371,4301.95,4364.05,565919397,43961.11
23/02/24,4378.6,4379.4,4359.7,4365.25,469426204,35413.32
26/02/24,4358.95,4362.1,4338.5,4348,434458181,31907.45
27/02/24,4346.6,4361.95,4341.35,4357.05,455922690,35428.92
28/02/24,4363.55,4367.2,4300.8,4308.95,463900790,31845.23
29/02/24,4303.6,4341.35,4286.05,4325.3,1100147259,61263.39
01/03/24,4342.5,4375.15,4341.95,4373,575565554,38269.93
02/03/24,4389.05,4392.15,4375.4,4385.8,56614516,2726.57
04/03/24,4393,4400.1,4379.3,4385.55,575020286,33305.69
05/03/24,4386,4390.55,4363.8,4372.5,561817027,39526.08
06/03/24,4371.75,4393.1,4335.25,4388.85,1113516683,49206.13
07/03/24,4395.9,4412.9,4388.65,4405,641882828,45508.69
11/03/24,4411.95,4413.75,4382.9,4388.35,559102197,43307.53
12/03/24,4390.95,4404.05,4362.65,4371.35,488881328,38817.4
13/03/24,4378.55,4382.65,4257.35,4282.3,736874623,50110.82
14/03/24,4271.85,4343.45,4254.8,4339.95,673553925,47858.26
15/03/24,4326.35,4337.2,4286.85,4315.2,1027611827,72016.75
18/03/24,4308.9,4330.4,4294.45,4318,550025423,31842.86
19/03/24,4304.7,4306.6,4255.85,4260.5,536471193,39197.92
20/03/24,4267.75,4280.55,4232.55,4261.8,506694538,36434.67
21/03/24,4293.3,4314.65,4287.35,4307.75,560100526,40221.39
22/03/24,4291.75,4330.6,4271.95,4315.35,546097148,45941.02
26/03/24,4293.35,4323.25,4293.1,4314.2,550483673,44951.92
27/03/24,4327.05,4341.65,4315.55,4319.95,651898272,54258.41
28/03/24,4330.3,4397.3,4330.3,4366.65,587418547,55251.7
01/04/24,4394.35,4414.25,4393.05,4397.55,397379313,30211.91
02/04/24,4400.3,4406.65,4387.4,4399.5,500074226,38050.55
03/04/24,4390.85,4413.8,4382.25,4400.8,587780374,42049.15
04/04/24,4430.5,4432.8,4379.1,4409.25,670593168,52004.11
05/04/24,4406.95,4421.9,4395.75,4418.5,444760483,33788.84
08/04/24,4438.75,4451.85,4429.3,4443.85,441129077,32400.89
09/04/24,4464.9,4464.9,4430.1,4438.6,427263225,30843.27
10/04/24,4454.95,4460.35,4443.75,4455.95,497576986,35458.43
12/04/24,4447,4456.95,4414.5,4417.1,608954637,47750.26
15/04/24,4371.15,4389.05,4349.95,4357.7,629784539,40541.58
16/04/24,4330.4,4350.25,4318.25,4326.4,549958647,37511.39
18/04/24,4345.7,4366.15,4292.2,4299.6,713639096,54564.15
19/04/24,4267.65,4321.9,4239.5,4314.05,568861740,45285.38
22/04/24,4351.85,4366.45,4334,4360.25,495969469,35499.01
23/04/24,4382.35,4383.8,4367.45,4372.75,403115059,33670.9
24/04/24,4383.25,4393.9,4379.1,4384.3,405173992,29632.49
25/04/24,4370.5,4412.95,4365.6,4406.6,662189277,61304.39
26/04/24,4419.35,4427,4388.5,4394.4,528733912,45542.33
29/04/24,4406.75,4424.85,4392.05,4422,527175005,42549.67
30/04/24,4432.3,4455.95,4417.45,4423.35,716972281,54116.71
